plot#,Plant.ID,Height10-10,Crown10-10,Ellip_vol10,Crown7-11,Height 6-11,Ellip_vol11,Crown4-12,Height4-12,Ellip_vol12,2yr grw vol-cm,2yr grw vol-m,y2011,y2012,y2011_m,y2012_m
300,AZW-1-7,36.3,776.942,118136.4275,2164.932,47,426216.9599,3580.7,67,1004919.673,1313000.205,1.313000205,426216.9599,578702.7129,0.42621696,0.578702713
229,AZW-1-8,28.3,312.186,37007.39095,1083.539,35,158855.1142,1709,50,357932.123,479779.8463,0.479779846,158855.1142,199077.0088,0.158855114,0.199077009
334,AZW-1-9,23.5,97.084,9556.615944,459.421,27,51959.29099,1163.1,43,209495.2211,251897.8962,0.251897896,51959.29099,157535.9302,0.051959291,0.15753593
388,CAT-1-1,18.8,58.073,4573.205535,449.469,29.5,55540.57466,906.2,45,170814.6758,221782.0449,0.221782045,55540.57466,115274.1011,0.055540575,0.115274101
39,CAT-1-2,24.2,236.203,23943.59647,1556.379,33,215138.3886,1665.6,46,320935.0524,512129.8446,0.512129845,215138.3886,105796.6638,0.215138389,0.105796664
241,CAT-1-3,55.6,722.151,168186.6104,3234.95,61,826582.1393,4162.4,82,1429704.469,2088099.997,2.088099997,826582.1393,603122.3293,0.826582139,0.603122329
59,CAT-1-4,37.2,353.5,55083.42895,2385.991,42,419765.4606,3163.4,61,808299.955,1172981.987,1.172981987,419765.4606,388534.4943,0.419765461,0.388534494
225,CAT-1-5,32.6,718.792,98154.32578,2746.079,41.5,477364.0759,4569,69,1320562.189,1699771.939,1.699771939,477364.0759,843198.1129,0.477364076,0.843198113
52,CAT-2-1,31,292.546,37987.8284,1443.014,36,217601.3847,1440.9,67,404387.063,584000.6193,0.584000619,217601.3847,186785.6783,0.217601385,0.186785678
221,CAT-2-10,37.3,607.391,94899.90848,510.28,45.5,97254.24189,2898.9,73,886430.5265,888784.8599,0.88878486,97254.24189,789176.2846,0.097254242,0.789176285
344,CAT-2-2,32.2,525.806,70920.21092,1888.936,45,356056.0476,2796,63,737847.017,1022982.854,1.022982854,356056.0476,381790.9694,0.356056048,0.381790969
376,CAT-2-3,41.5,673.39,117058.6116,3378.181,53,749976.0486,4473.2,76,1424034.522,2056951.959,2.056951959,749976.0486,674058.4736,0.749976049,0.674058474
466,CAT-2-4,18.1,92.593,7020.132991,575.703,30,72344.97262,1119.3,55,257868.2082,323193.0478,0.323193048,72344.97262,185523.2356,0.072344973,0.185523236
274,CAT-2-5,33,454.857,62874.91802,1817.871,39,296972.5293,2978,69,860720.9889,1094818.6,1.0948186,296972.5293,563748.4596,0.296972529,0.56374846
170,CAT-2-6,31.2,168.839,22065.61186,1134.003,39,185253.9257,1738.9,54,393329.9135,556518.2273,0.556518227,185253.9257,208075.9878,0.185253926,0.208075988
47,CAT-2-7,20.8,134.469,11715.85854,669.758,27,75747.84525,604,27,68310.79066,132342.7774,0.132342777,75747.84525,-7437.05459,0.075747845,-0.007437055
419,CAT-2-8,42,1067.721,187843.2892,3265.528,50,683930.585,1740.8,53,386467.8374,882555.1332,0.882555133,683930.585,-297462.7476,0.683930585,-0.297462748
311,CAT-2-9,41.5,989.522,172013.3525,2590.922,46.5,504656.5343,2150.1,66,594416.9761,927060.1579,0.927060158,504656.5343,89760.44176,0.504656534,0.089760442
399,CAV-1-1,14.5,89.541,5438.492724,256.17,19,20387.80535,na,dead,#VALUE!,#VALUE!,#VALUE!,20387.80535,#VALUE!,0.020387805,#VALUE!
48,CAV-1-10,10.5,68.215,3000.2524,579.466,19.5,47331.59934,548.5,20,45951.02855,90282.37549,0.090282375,47331.59934,-1380.570797,0.047331599,-0.001380571
426,CAV-1-2,14,83.461,4894.40867,484.281,21,42599.58169,124,22,11427.01968,49132.1927,0.049132193,42599.58169,-31172.56201,0.042599582,-0.031172562
310,CAV-1-3,16,232.411,15576.33472,782.832,24,78698.85633,732.6,24,73648.9849,136771.5065,0.136771506,78698.85633,-5049.87143,0.078698856,-0.005049871
130,CAV-1-4,8,50.094,1678.666052,235.193,16,15762.78615,313.9,18,23667.50242,37751.62252,0.037751623,15762.78615,7904.716261,0.015762786,0.007904716
148,CAV-1-5,dead,1.543,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
217,CAV-1-6,7.5,20.514,644.466317,217.603,18.5,16862.62633,321.6,17,22900.95381,39119.11382,0.039119114,16862.62633,6038.327481,0.016862626,0.006038327
401,CAV-1-7,11.2,69.828,3275.942235,345.189,18.5,26749.59959,436.4,25,45699.70113,69173.35849,0.069173358,26749.59959,18950.10155,0.0267496,0.018950102
5,CAV-1-8,dead,8.224,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
128,CAV-1-9,14.6,102.341,6258.800684,404.816,30,50870.67887,348.2,21,30629.27174,75241.14992,0.07524115,50870.67887,-20241.40713,0.050870679,-0.020241407
108,CAV-2-1,27.8,270.136,31456.89626,1113.692,34,158610.7528,1036.4,42,182333.0111,309486.8676,0.309486868,158610.7528,23722.25828,0.158610753,0.023722258
121,CAV-2-10,22.8,659.92,63025.27465,2234.306,34,318207.329,3003.2,53,666728.0614,921910.1157,0.921910116,318207.329,348520.7324,0.318207329,0.348520732
420,CAV-2-2,26,471.885,51392.30891,1896.288,35.5,281981.9173,670.7,39,109567.442,340157.0504,0.34015705,281981.9173,-172414.4753,0.281981917,-0.172414475
167,CAV-2-3,dead,21.975,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
267,CAV-2-4,27.7,428.482,49716.54737,1845.715,36,278327.2649,2326.7,43,419080.5013,647691.2188,0.647691219,278327.2649,140753.2364,0.278327265,0.140753236
68,CAV-2-5,32.1,80.969,10887.10515,191.455,23.5,18846.17347,235.3,37,36468.0264,44427.09473,0.044427095,18846.17347,17621.85293,0.018846173,0.017621853
458,CAV-2-6,18.9,90.427,7158.936932,362.714,18,27347.99131,391.4,23,37708.32718,57897.38156,0.057897382,27347.99131,10360.33588,0.027347991,0.010360336
265,CAV-2-7,38,539.516,85876.93477,1732.491,36.5,264882.0086,1068.3,39,174520.4985,353525.5723,0.353525572,264882.0086,-90361.51011,0.264882009,-0.09036151
7,CAV-2-8,dead,28.518,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
176,CAV-2-9,27.2,472.649,53851.30804,2004.945,32.5,272944.5543,2119.3,38,337337.5171,556430.7633,0.556430763,272944.5543,64392.96282,0.272944554,0.064392963
24,CAV-3-1,dead,75.739,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
393,CAV-3-2,42.4,573.092,101783.8354,115.303,36,17387.28277,119.8,52,26094.48746,-58302.06519,-0.058302065,17387.28277,8707.204688,0.017387283,0.008707205
448,CAV-3-3,dead,2.976,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
463,CAV-3-4,27.5,269.115,30999.82259,828.565,32,111061.9186,1261.2,62,327539.9368,407602.0328,0.407602033,111061.9186,216478.0182,0.111061919,0.216478018
240,CAV-3-5,37.5,996.209,156484.1438,965.929,21,84967.55261,1130.3,40,189383.5827,117866.9916,0.117866992,84967.55261,104416.0301,0.084967553,0.10441603
126,CAV-3-6,39.7,1088.623,181032.5304,1563.97,29,189983.1243,2472.8,50,517902.0209,526852.6148,0.526852615,189983.1243,327918.8966,0.189983124,0.327918897
316,CAV-3-7,40,1088.235,182335.5243,653.624,25.5,69816.29212,428.4,36,64601.19805,-47918.03416,-0.047918034,69816.29212,-5215.09407,0.069816292,-0.005215094
293,CAV-4-1,40.3,872.71,147320.6437,2385.878,47,469715.2926,3154.8,65,858961.697,1181356.346,1.181356346,469715.2926,389246.4044,0.469715293,0.389246404
443,CAV-4-2,dead,44.575,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
9,CAV-4-3,40,404.286,67738.76947,1744.032,44,321436.903,1397.4,50,292670.7716,546368.9051,0.546368905,321436.903,-28766.13136,0.321436903,-0.028766131
132,CAV-4-4,31.6,402.235,53242.14569,400.406,33.5,56186.76048,501.4,43,90311.15457,93255.76937,0.093255769,56186.76048,34124.39409,0.05618676,0.034124394
21,CAV-4-5,dead,75.25,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
43,CAW-3-1,9.2,114.124,4397.981739,927.569,26,101020.1905,693.6,33,95876.38124,192498.59,0.19249859,101020.1905,-5143.809239,0.10102019,-0.005143809
431,CAW-3-10,21,67.744,5959.073476,233.337,26,25412.39324,212.7,29,25837.71462,45291.03438,0.045291034,25412.39324,425.3213798,0.025412393,0.000425321
410,CAW-3-3,14.2,188.971,11240.15021,1109.481,26,120831.9618,975.3,32,130730.4668,240322.2783,0.240322278,120831.9618,9898.505,0.120831962,0.009898505
452,CAW-3-4,dead,12.041,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
177,CAW-3-5,24,436.814,43913.33291,2015.115,32,270108.6072,2267.9,38,360990.7776,587186.0519,0.587186052,270108.6072,90882.17045,0.270108607,0.09088217
139,CAW-3-6,dead,51.311,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
464,CAW-3-7,dead,305.839,#VALUE!,0,26.5,0,na,dead,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,0,#VALUE!
358,CAW-3-8,26.5,624.173,69285.03834,2357.999,35,345700.709,3197.5,50,669682.834,946098.5046,0.946098505,345700.709,323982.125,0.345700709,0.323982125
14,CAW-3-9,dead,9.759,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
226,COT-1-1,42.2,755.018,133462.2265,2085.555,49,428061.6654,4304.4,76,1370297.37,1664896.809,1.664896809,428061.6654,942235.7049,0.428061665,0.942235705
200,COT-1-10,34.6,220.204,31914.6372,1225.333,45,230969.8291,1808.4,63,477225.517,676280.7089,0.676280709,230969.8291,246255.6879,0.230969829,0.246255688
407,COT-1-2,28.4,365.446,43474.05616,1459.105,37,226139.7351,2647.4,67,742990.0136,925655.6925,0.925655693,226139.7351,516850.2785,0.226139735,0.516850279
411,COT-1-3,39.8,676.506,112782.9199,2589.626,39.5,428472.3009,3238,68,922304.5825,1237993.963,1.237993963,428472.3009,493832.2815,0.428472301,0.493832282
396,COT-1-4,dead,18.7,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
124,COT-1-5,40.2,849.443,143037.1684,3953.991,53,877809.2548,4229.1,86,1523473.888,2258245.975,2.258245975,877809.2548,645664.6335,0.877809255,0.645664633
382,COT-1-6,43.5,547.765,99809.56099,2115.504,52,460792.9265,2966.9,66,820229.6295,1181212.995,1.181212995,460792.9265,359436.7029,0.460792927,0.359436703
289,COT-1-7,33.5,266.945,37458.91614,1083.593,41.5,188366.1654,1914.9,68,545435.7767,696343.0259,0.696343026,188366.1654,357069.6113,0.188366165,0.357069611
246,COT-1-8,46.3,956.317,185469.0624,2686.051,53,596319.1183,3783.9,80,1267997.06,1678847.116,1.678847116,596319.1183,671677.9422,0.596319118,0.671677942
297,COT-1-9,46.3,1035.065,200741.5272,3096.329,57.5,745767.6737,5089.4,74,1577563.736,2122589.883,2.122589883,745767.6737,831796.0626,0.745767674,0.831796063
140,COW-1-1,24.6,199.561,20563.61139,1235.192,36,186262.5654,1363.1,50,285486.9964,451185.9504,0.45118595,186262.5654,99224.43098,0.186262565,0.099224431
232,COW-1-10,31.2,293.579,38367.91419,1254.475,40.5,212816.67,1349.1,50,282554.8433,457003.5991,0.457003599,212816.67,69738.17328,0.21281667,0.069738173
252,COW-1-2,35.3,199.6,29513.71313,1226.011,40.5,207987.8661,984.4,53,218542.5891,397016.7421,0.397016742,207987.8661,10554.72297,0.207987866,0.010554723
435,COW-1-3,27,222.334,25145.383,1087.253,32,145736.7909,728.6,42,128182.0068,248773.4147,0.248773415,145736.7909,-17554.78411,0.145736791,-0.017554784
136,COW-1-4,18.6,113.602,8850.901974,634.715,27,71784.57532,759.7,35,111377.8372,174311.5105,0.17431151,71784.57532,39593.26183,0.071784575,0.039593262
1,COW-1-5,30.2,20.243,2560.769139,135.196,30,16989.23042,46,28,5395.161784,19823.62306,0.019823623,16989.23042,-11594.06863,0.01698923,-0.011594069
327,COW-1-6,31.7,153.318,20358.27689,692.144,37,107272.1023,1331.4,54,301155.585,388069.4104,0.38806941,107272.1023,193883.4828,0.107272102,0.193883483
442,COW-1-7,30,59.171,7435.647156,394.439,40,66088.88878,695.9,49,142833.9761,201487.2177,0.201487218,66088.88878,76745.08729,0.066088889,0.076745087
138,COW-1-8,29.2,180.104,22029.00183,1291.84,32,173159.8956,1066,45,200936.2661,352067.1599,0.35206716,173159.8956,27776.3705,0.173159896,0.027776371
318,COW-1-9,35,180.838,26512.23551,808.82,47.5,160928.9214,633.1,40,106076.9231,240493.6091,0.240493609,160928.9214,-54851.99829,0.160928921,-0.054851998
249,COW-2-1,22,95.702,8819.263204,629.105,30,79055.66585,650.5,37,100817.897,171054.2997,0.1710543,79055.66585,21762.23119,0.079055666,0.021762231
163,COW-2-10,35.3,461.278,68206.54591,1735.452,43,312586.1066,2016.2,50,422271.9405,666651.5012,0.666651501,312586.1066,109685.834,0.312586107,0.109685834
131,COW-2-2,23.5,156.159,15371.75631,1229.574,38.5,198291.4598,1061.8,41,182353.955,365273.6585,0.365273659,198291.4598,-15937.50478,0.19829146,-0.015937505
